epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13226.7,1.07402,0.87016,1.22303,0.74367,0.68323,0.71706,0.48623,1.32286,1.19764,1.44109,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,13639,1.07156,0.85757,1.22946,0.75751,0.69801,0.72607,0.49628,1.30608,1.1666,1.40845,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,14051.3,1.04288,0.83258,1.20487,0.7431,0.70589,0.71828,0.48501,1.33555,1.21051,1.46014,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,14463.5,1.04293,0.8241,1.19844,0.76016,0.6963,0.72806,0.49879,1.31524,1.19889,1.44418,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,14876,1.02783,0.81365,1.18944,0.73833,0.71818,0.72657,0.50045,1.299,1.20043,1.42588,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,15288.3,1.01684,0.79238,1.1905,0.74198,0.70969,0.72345,0.5021,1.30169,1.18451,1.41718,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,15700.7,1.00778,0.77687,1.17855,0.71755,0.70043,0.70482,0.48362,1.30882,1.23173,1.42878,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,16113,1.00979,0.7847,1.18468,0.76337,0.70354,0.72149,0.49592,1.30859,1.20069,1.44241,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,16525.2,0.98963,0.7561,1.15689,0.75243,0.68284,0.69944,0.48545,1.30647,1.25584,1.44481,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,16937.5,0.98366,0.74924,1.1666,0.75745,0.68026,0.71346,0.4929,1.31485,1.2569,1.43578,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,17349.9,0.97474,0.74884,1.16085,0.76498,0.68546,0.70882,0.49009,1.31333,1.18642,1.43872,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,17762.3,0.97147,0.73683,1.15043,0.77473,0.69278,0.71886,0.4982,1.31463,1.24614,1.4596,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,18174.6,0.94956,0.71156,1.14929,0.75389,0.69404,0.70525,0.48149,1.31351,1.26921,1.43521,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,18587.1,0.93653,0.70457,1.13106,0.76959,0.69666,0.71141,0.48543,1.31129,1.20592,1.44379,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,18999.4,0.94198,0.6984,1.1325,0.74503,0.70518,0.71412,0.4942,1.31676,1.29956,1.45851,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,19412,0.92867,0.68476,1.12402,0.72437,0.71439,0.72208,0.50391,1.28647,1.22483,1.42783,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,19824.4,0.91521,0.6757,1.11263,0.76317,0.69369,0.71646,0.50221,1.30513,1.21387,1.44279,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,20236.8,0.9026,0.65376,1.10988,0.76857,0.69343,0.71902,0.49652,1.33134,1.25493,1.47229,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,20649.1,0.91086,0.67136,1.10847,0.76615,0.69597,0.71437,0.49735,1.31908,1.25842,1.44789,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,21061.7,0.90251,0.66467,1.10738,0.77366,0.70111,0.72101,0.50422,1.30495,1.26327,1.43661,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
